,ROLES,Companies,Experience,Salary,Location,Skills,Search,Clean_data,Title_new
328,ai developer/ data scientist,OPEXAI BUSINESS CONSULTING LLP,3-8 ,,india,"unix,c++,linux,data modeling,eclipse,mysql,data structures,visual studio","ai developer/ data scientist,india",ai developer data scientist india,Scientist
329,iqm - data scientist,IQM Corporation,8-10 ,,"Ahmedabad, ahmedabad","analytical,data processing,business executive,computer science,algorithms,coding,machine learning,design","iqm - data scientist,Ahmedabad, ahmedabad",iqm data scientist ahmedabad ahmedabad,Scientist
330,lead - data scientist,BigTapp Analytics Pte Ltd,5-7 ,,Chennai,"c++,data analysis,prototype,sas,cassandra,analytical,actuarial,spss","lead - data scientist,Chennai",lead data scientist chennai,Lead
331,data scientist,dataspire Technologies Private Limited,2-5 ,,Coimbatore,"c++,data analysis,development,prototype,large,software,tools,developing","data scientist,Coimbatore",data scientist coimbatore,Scientist
332,principal data scientist,CereSight,4-9 ,,India,"computer science,deep learning,data science,spark,artificial intelligence,machine learning,manager technology,big data","principal data scientist,India",principal data scientist india,Scientist
333,data scientist,Scalable Systems Pvt. Ltd.,4-7 ,,bhubaneswar,"computer science,policies,data management,machine learning,service,perl,spss,qlikview","data scientist,bhubaneswar",data scientist bhubaneswar,Scientist
334,data scientist,ExecBoardinAsia,5-10 ,,punjab,"data analysis,process optimization,product sales,predictive modeling,data mining,business solutions,revenue generation,monitoring","data scientist,punjab",data scientist punjab,Scientist
335,sr data analyst/data scientist,Brillius technologies,3-6 ,,Delhi NCR,r data analyst/data scientist,"sr data analyst/data scientist,Delhi NCR",sr data analyst data scientist delhi ncr,Scientist
336,data scientist,WhizKidz Media Pvt Ltd,2-5 ,,not specified,"data science,r programming,data scientist,big data,statistics,python","data scientist,not specified",data scientist specified,Scientist
337,data scientist,INFINIUM SOLUTIONZ PVT LTD,3-7 ,,Ahmedabad,"gis,data analysis,rdbms,coding,project management,machine learning,data structures,matlab","data scientist,Ahmedabad",data scientist ahmedabad,Scientist
338,data scientist,PNR Software Solutions Private Limited,2-6 ,,Kolkata,"data science,sas,analytical,data collection,spss,qlikview,oracle,data mining","data scientist,Kolkata",data scientist kolkata,Scientist
339,"machine learning, ai, data scientist - thanjavur location",Sinjore Technologies,0-1 ,,Thanjavur,"python,data science,machine learning,artificial intelligence,business intelligence,nlp,statistical modeling","machine learning, ai, data scientist - thanjavur location,Thanjavur",machine learning ai data scientist thanjavur location thanjavur,Scientist
340,data scientist / developer,Elton Consulting (INDIA) Private Limited,3-8 ,,Coimbatore,"development,sap,architecture,social media,business executive,sql,mining,graph","data scientist / developer,Coimbatore",data scientist developer coimbatore,Scientist
341,manager data scientist,Innefu Labs,6-11 ,,Delhi,python,"manager data scientist,Delhi",manager data scientist delhi,Manager
342,position data scientist,Positive Integers Pvt Ltd,2-5 ,,Chennai,"assembly language,javascript,real time operating systems,.net,html,oracle,python","position data scientist,Chennai",position data scientist chennai,Scientist
343,hiring for big 4 company as data scientist,CLARITY CONSULTING,6-9 ,,"Delhi NCR, India","data science,recommender systems,java,r,c,nlp,neural networks,octave","hiring for big 4 company as data scientist,Delhi NCR, India",hiring big company data scientist delhi ncr india,Scientist
344,job opportunity || sr. data scientist || 6 months contract–permanent,Select Source International Private Limited,5-10 ,1200000 - 2000000 ,Delhi NCR,"mage processing,computer vision,deep learning,it skills,python,machine learning,cnn,pattern recognition","job opportunity || sr. data scientist || 6 months contract–permanent,Delhi NCR",job opportunity sr data scientist month contract permanent delhi ncr,Scientist
345,data scientist - gurgaon || experience 5 - 7 years,WNS GLOBAL SERVICES PRIVATE LIMITED,5-7 ,600000 - 950000 ,India,"data science,statistical modeling,machine learning,deep learning,python","data scientist - gurgaon || experience 5 - 7 years,India",data scientist gurgaon experience year india,Scientist
346,data analyst/scientist,itForte Staffing Services Private Ltd.,3-7 ,,Delhi NCR,"ms sql,algorithms,consulting,machine learning,data collection,tools,data analyst,technology solutions","data analyst/scientist,Delhi NCR",data analyst scientist delhi ncr,Scientist
